Day of simulation;Date;Treatment;Measurement type;Unit;Depth;Value;Variance
6247;21.04.2012;RS;Microbial N;kg N ha-1;0 - 15 cm;66.57675;113.0976959
6254;28.04.2012;RS;Microbial N;kg N ha-1;0 - 15 cm;68.38925;113.0976959
6268;12.05.2012;RS;Microbial N;kg N ha-1;0 - 15 cm;82.32375;113.0976959
6296;09.06.2012;RS;Microbial N;kg N ha-1;0 - 15 cm;67.5149;113.0976959
6352;04.08.2012;RS;Microbial N;kg N ha-1;0 - 15 cm;70.5689218;113.0976959
6422;13.10.2012;RS;Microbial N;kg N ha-1;0 - 15 cm;20.91625;113.0976959
6513;12.01.2013;RS;Microbial N;kg N ha-1;0 - 15 cm;37.02727507;113.0976959
6602;11.04.2013;RS;Microbial N;kg N ha-1;0 - 15 cm;15.72685615;113.0976959
1;16.03.1995;TM;Microbial N;kg N ha-1;0 - 15 cm;7.656;113.0976959
28;12.04.1995;TM;Microbial N;kg N ha-1;0 - 15 cm;38.01465;113.0976959
55;09.05.1995;TM;Microbial N;kg N ha-1;0 - 15 cm;53.701765;113.0976959
111;04.07.1995;TM;Microbial N;kg N ha-1;0 - 15 cm;15.6088875;113.0976959
182;13.09.1995;TM;Microbial N;kg N ha-1;0 - 15 cm;27.2779075;113.0976959
362;11.03.1996;TM;Microbial N;kg N ha-1;0 - 15 cm;40.5651275;113.0976959
396;14.04.1996;TM;Microbial N;kg N ha-1;0 - 15 cm;55.16525;113.0976959
410;28.04.1996;TM;Microbial N;kg N ha-1;0 - 15 cm;60.849975;113.0976959
438;26.05.1996;TM;Microbial N;kg N ha-1;0 - 15 cm;139.866275;113.0976959
494;21.07.1996;TM;Microbial N;kg N ha-1;0 - 15 cm;87.276225;113.0976959
564;29.09.1996;TM;Microbial N;kg N ha-1;0 - 15 cm;17.289075;113.0976959
744;28.03.1997;TM;Microbial N;kg N ha-1;0 - 15 cm;15.50631019;113.0976959
773;26.04.1997;TM;Microbial N;kg N ha-1;0 - 15 cm;5.251998908;113.0976959
786;09.05.1997;TM;Microbial N;kg N ha-1;0 - 15 cm;13.575625;113.0976959
817;09.06.1997;TM;Microbial N;kg N ha-1;0 - 15 cm;80.52271825;113.0976959
873;04.08.1997;TM;Microbial N;kg N ha-1;0 - 15 cm;64.28242724;113.0976959
943;13.10.1997;TM;Microbial N;kg N ha-1;0 - 15 cm;28.14735892;113.0976959
1121;09.04.1998;TM;Microbial N;kg N ha-1;0 - 15 cm;37.18953226;113.0976959
1308;13.10.1998;TM;Microbial N;kg N ha-1;0 - 15 cm;49.40648829;113.0976959
1491;14.04.1999;TM;Microbial N;kg N ha-1;0 - 15 cm;79.9540875;113.0976959
1519;12.05.1999;TM;Microbial N;kg N ha-1;0 - 15 cm;89.5694;113.0976959
1547;09.06.1999;TM;Microbial N;kg N ha-1;0 - 15 cm;92.01652486;113.0976959
1603;04.08.1999;TM;Microbial N;kg N ha-1;0 - 15 cm;65.53404539;113.0976959
1673;13.10.1999;TM;Microbial N;kg N ha-1;0 - 15 cm;46.56208027;113.0976959
1854;11.04.2000;TM;Microbial N;kg N ha-1;0 - 15 cm;125.229975;113.0976959
3323;19.04.2004;TM;Microbial N;kg N ha-1;0 - 15 cm;59.34995;113.0976959
3337;03.05.2004;TM;Microbial N;kg N ha-1;0 - 15 cm;31.31094287;113.0976959
3351;17.05.2004;TM;Microbial N;kg N ha-1;0 - 15 cm;89.30516766;113.0976959
3378;13.06.2004;TM;Microbial N;kg N ha-1;0 - 15 cm;49.80703629;113.0976959
3435;09.08.2004;TM;Microbial N;kg N ha-1;0 - 15 cm;84.27044852;113.0976959
3504;17.10.2004;TM;Microbial N;kg N ha-1;0 - 15 cm;26.77772413;113.0976959
3683;14.04.2005;TM;Microbial N;kg N ha-1;0 - 15 cm;33.317375;113.0976959
4414;15.04.2007;TM;Microbial N;kg N ha-1;0 - 15 cm;33.33534978;113.0976959
4421;22.04.2007;TM;Microbial N;kg N ha-1;0 - 15 cm;68.32653497;113.0976959
4428;29.04.2007;TM;Microbial N;kg N ha-1;0 - 15 cm;74.42568047;113.0976959
4442;13.05.2007;TM;Microbial N;kg N ha-1;0 - 15 cm;60.76521939;113.0976959
4470;10.06.2007;TM;Microbial N;kg N ha-1;0 - 15 cm;43.7528815;113.0976959
4526;05.08.2007;TM;Microbial N;kg N ha-1;0 - 15 cm;72.76042278;113.0976959
4595;13.10.2007;TM;Microbial N;kg N ha-1;0 - 15 cm;62.16095719;113.0976959
4776;11.04.2008;TM;Microbial N;kg N ha-1;0 - 15 cm;54.18711717;113.0976959
6240;14.04.2012;TM;Microbial N;kg N ha-1;0 - 15 cm;93.844;113.0976959
6247;21.04.2012;TM;Microbial N;kg N ha-1;0 - 15 cm;86.942;113.0976959
6254;28.04.2012;TM;Microbial N;kg N ha-1;0 - 15 cm;67.50475;113.0976959
6268;12.05.2012;TM;Microbial N;kg N ha-1;0 - 15 cm;99.228575;113.0976959
6296;09.06.2012;TM;Microbial N;kg N ha-1;0 - 15 cm;62.87925;113.0976959
6352;04.08.2012;TM;Microbial N;kg N ha-1;0 - 15 cm;82.06052615;113.0976959
6422;13.10.2012;TM;Microbial N;kg N ha-1;0 - 15 cm;61.625;113.0976959
6513;12.01.2013;TM;Microbial N;kg N ha-1;0 - 15 cm;52.25040047;113.0976959
6602;11.04.2013;TM;Microbial N;kg N ha-1;0 - 15 cm;18.4556;113.0976959
8796;14.04.2019;CT;Microbial N;kg N ha-1;0 - 15 cm;18.5855988;113.0976959
8810;28.04.2019;CT;Microbial N;kg N ha-1;0 - 15 cm;15.02843842;113.0976959
8824;12.05.2019;CT;Microbial N;kg N ha-1;0 - 15 cm;28.68474115;113.0976959
8852;09.06.2019;CT;Microbial N;kg N ha-1;0 - 15 cm;21.97697918;113.0976959
8908;04.08.2019;CT;Microbial N;kg N ha-1;0 - 15 cm;27.01116646;113.0976959
9006;10.11.2019;CT;Microbial N;kg N ha-1;0 - 15 cm;13.75831463;113.0976959
8796;14.04.2019;DP;Microbial N;kg N ha-1;0 - 15 cm;17.93416938;113.0976959
8810;28.04.2019;DP;Microbial N;kg N ha-1;0 - 15 cm;29.05011036;113.0976959
8824;12.05.2019;DP;Microbial N;kg N ha-1;0 - 15 cm;53.5809804;113.0976959
8852;09.06.2019;DP;Microbial N;kg N ha-1;0 - 15 cm;34.3185833;113.0976959
8908;04.08.2019;DP;Microbial N;kg N ha-1;0 - 15 cm;38.81123325;113.0976959
9006;10.11.2019;DP;Microbial N;kg N ha-1;0 - 15 cm;12.94427465;113.0976959
8796;14.04.2019;GN;Microbial N;kg N ha-1;0 - 15 cm;17.93390157;113.0976959
8810;28.04.2019;GN;Microbial N;kg N ha-1;0 - 15 cm;85.62973283;113.0976959
8824;12.05.2019;GN;Microbial N;kg N ha-1;0 - 15 cm;102.9723048;113.0976959
8852;09.06.2019;GN;Microbial N;kg N ha-1;0 - 15 cm;63.3341111;113.0976959
8908;04.08.2019;GN;Microbial N;kg N ha-1;0 - 15 cm;93.67500813;113.0976959
9006;10.11.2019;GN;Microbial N;kg N ha-1;0 - 15 cm;17.76979088;113.0976959
8796;14.04.2019;RS;Microbial N;kg N ha-1;0 - 15 cm;17.12785705;113.0976959
8810;28.04.2019;RS;Microbial N;kg N ha-1;0 - 15 cm;53.95066599;113.0976959
8824;12.05.2019;RS;Microbial N;kg N ha-1;0 - 15 cm;72.64828946;113.0976959
8852;09.06.2019;RS;Microbial N;kg N ha-1;0 - 15 cm;54.52121944;113.0976959
8908;04.08.2019;RS;Microbial N;kg N ha-1;0 - 15 cm;50.43907438;113.0976959
9006;10.11.2019;RS;Microbial N;kg N ha-1;0 - 15 cm;16.94894697;113.0976959
8796;14.04.2019;TM;Microbial N;kg N ha-1;0 - 15 cm;19.76233976;113.0976959
8810;28.04.2019;TM;Microbial N;kg N ha-1;0 - 15 cm;59.30665546;113.0976959
8824;12.05.2019;TM;Microbial N;kg N ha-1;0 - 15 cm;102.0214708;113.0976959
8852;09.06.2019;TM;Microbial N;kg N ha-1;0 - 15 cm;49.85655225;113.0976959
8908;04.08.2019;TM;Microbial N;kg N ha-1;0 - 15 cm;64.41429533;113.0976959
9006;10.11.2019;TM;Microbial N;kg N ha-1;0 - 15 cm;12.7313667;113.0976959
1;16.03.1995;CT;SOC;kg C ha-1;0 - 15 cm;4524;128840.8778
375;24.03.1996;CT;SOC;kg C ha-1;0 - 15 cm;3675.75;128840.8778
755;08.04.1997;CT;SOC;kg C ha-1;0 - 15 cm;3697.5;128840.8778
1120;08.04.1998;CT;SOC;kg C ha-1;0 - 15 cm;3545.25;128840.8778
1488;11.04.1999;CT;SOC;kg C ha-1;0 - 15 cm;3327.75;128840.8778
1867;24.04.2000;CT;SOC;kg C ha-1;0 - 15 cm;3037.75;128840.8778
2219;11.04.2001;CT;SOC;kg C ha-1;0 - 15 cm;3617.75;128840.8778
2584;11.04.2002;CT;SOC;kg C ha-1;0 - 15 cm;3313.25;128840.8778
2949;11.04.2003;CT;SOC;kg C ha-1;0 - 15 cm;3559.75;128840.8778
3315;11.04.2004;CT;SOC;kg C ha-1;0 - 15 cm;3269.75;128840.8778
3680;11.04.2005;CT;SOC;kg C ha-1;0 - 15 cm;3327.75;128840.8778
4045;11.04.2006;CT;SOC;kg C ha-1;0 - 15 cm;3480;128840.8778
4410;11.04.2007;CT;SOC;kg C ha-1;0 - 15 cm;2493.14346;128840.8778
4776;11.04.2008;CT;SOC;kg C ha-1;0 - 15 cm;3045;128840.8778
5141;11.04.2009;CT;SOC;kg C ha-1;0 - 15 cm;3190;128840.8778
5506;11.04.2010;CT;SOC;kg C ha-1;0 - 15 cm;3970.1;128840.8778
5871;11.04.2011;CT;SOC;kg C ha-1;0 - 15 cm;2921.220981;128840.8778
6237;11.04.2012;CT;SOC;kg C ha-1;0 - 15 cm;3552.5;128840.8778
6602;11.04.2013;CT;SOC;kg C ha-1;0 - 15 cm;3357.8375;128840.8778
6967;11.04.2014;CT;SOC;kg C ha-1;0 - 15 cm;3582.95;128840.8778
7332;11.04.2015;CT;SOC;kg C ha-1;0 - 15 cm;3234.95;128840.8778
1;16.03.1995;DP;SOC;kg C ha-1;0 - 15 cm;4524;128840.8778
375;24.03.1996;DP;SOC;kg C ha-1;0 - 15 cm;4096.25;128840.8778
755;08.04.1997;DP;SOC;kg C ha-1;0 - 15 cm;4495;128840.8778
1120;08.04.1998;DP;SOC;kg C ha-1;0 - 15 cm;4567.5;128840.8778
1488;11.04.1999;DP;SOC;kg C ha-1;0 - 15 cm;5038.75;128840.8778
1867;24.04.2000;DP;SOC;kg C ha-1;0 - 15 cm;4444.25;128840.8778
2219;11.04.2001;DP;SOC;kg C ha-1;0 - 15 cm;5212.75;128840.8778
2584;11.04.2002;DP;SOC;kg C ha-1;0 - 15 cm;5082.25;128840.8778
2949;11.04.2003;DP;SOC;kg C ha-1;0 - 15 cm;5031.5;128840.8778
3315;11.04.2004;DP;SOC;kg C ha-1;0 - 15 cm;5531.75;128840.8778
3680;11.04.2005;DP;SOC;kg C ha-1;0 - 15 cm;6532.25;128840.8778
4045;11.04.2006;DP;SOC;kg C ha-1;0 - 15 cm;5437.5;128840.8778
4410;11.04.2007;DP;SOC;kg C ha-1;0 - 15 cm;6438.36478;128840.8778
4776;11.04.2008;DP;SOC;kg C ha-1;0 - 15 cm;5437.5;128840.8778
5141;11.04.2009;DP;SOC;kg C ha-1;0 - 15 cm;6090;128840.8778
5506;11.04.2010;DP;SOC;kg C ha-1;0 - 15 cm;6900.55;128840.8778
5871;11.04.2011;DP;SOC;kg C ha-1;0 - 15 cm;6256.637376;128840.8778
6237;11.04.2012;DP;SOC;kg C ha-1;0 - 15 cm;5399.4375;128840.8778
6602;11.04.2013;DP;SOC;kg C ha-1;0 - 15 cm;6808.475;128840.8778
6967;11.04.2014;DP;SOC;kg C ha-1;0 - 15 cm;4946.675;128840.8778
7332;11.04.2015;DP;SOC;kg C ha-1;0 - 15 cm;5414.3;128840.8778
1;16.03.1995;GN;SOC;kg C ha-1;0 - 15 cm;4524;128840.8778
375;24.03.1996;GN;SOC;kg C ha-1;0 - 15 cm;4973.5;128840.8778
755;08.04.1997;GN;SOC;kg C ha-1;0 - 15 cm;5220;128840.8778
1120;08.04.1998;GN;SOC;kg C ha-1;0 - 15 cm;5205.5;128840.8778
1488;11.04.1999;GN;SOC;kg C ha-1;0 - 15 cm;4777.75;128840.8778
1867;24.04.2000;GN;SOC;kg C ha-1;0 - 15 cm;4676.25;128840.8778
2219;11.04.2001;GN;SOC;kg C ha-1;0 - 15 cm;5299.75;128840.8778
2584;11.04.2002;GN;SOC;kg C ha-1;0 - 15 cm;5836.25;128840.8778
2949;11.04.2003;GN;SOC;kg C ha-1;0 - 15 cm;5698.5;128840.8778
3315;11.04.2004;GN;SOC;kg C ha-1;0 - 15 cm;5974;128840.8778
3680;11.04.2005;GN;SOC;kg C ha-1;0 - 15 cm;7184.75;128840.8778
4045;11.04.2006;GN;SOC;kg C ha-1;0 - 15 cm;6090;128840.8778
4410;11.04.2007;GN;SOC;kg C ha-1;0 - 15 cm;6515.822785;128840.8778
4776;11.04.2008;GN;SOC;kg C ha-1;0 - 15 cm;6525;128840.8778
5141;11.04.2009;GN;SOC;kg C ha-1;0 - 15 cm;5655;128840.8778
5506;11.04.2010;GN;SOC;kg C ha-1;0 - 15 cm;6920.125;128840.8778
5871;11.04.2011;GN;SOC;kg C ha-1;0 - 15 cm;6337.251347;128840.8778
6237;11.04.2012;GN;SOC;kg C ha-1;0 - 15 cm;6680.15;128840.8778
6602;11.04.2013;GN;SOC;kg C ha-1;0 - 15 cm;7641.1375;128840.8778
6967;11.04.2014;GN;SOC;kg C ha-1;0 - 15 cm;7592.925;128840.8778
7332;11.04.2015;GN;SOC;kg C ha-1;0 - 15 cm;7321.775;128840.8778
1;16.03.1995;RS;SOC;kg C ha-1;0 - 15 cm;4524;128840.8778
375;24.03.1996;RS;SOC;kg C ha-1;0 - 15 cm;3987.5;128840.8778
755;08.04.1997;RS;SOC;kg C ha-1;0 - 15 cm;4205;128840.8778
1120;08.04.1998;RS;SOC;kg C ha-1;0 - 15 cm;4477.021465;128840.8778
1488;11.04.1999;RS;SOC;kg C ha-1;0 - 15 cm;4299.25;128840.8778
1867;24.04.2000;RS;SOC;kg C ha-1;0 - 15 cm;3849.75;128840.8778
2219;11.04.2001;RS;SOC;kg C ha-1;0 - 15 cm;4328.25;128840.8778
2584;11.04.2002;RS;SOC;kg C ha-1;0 - 15 cm;4342.75;128840.8778
2949;11.04.2003;RS;SOC;kg C ha-1;0 - 15 cm;4219.5;128840.8778
3315;11.04.2004;RS;SOC;kg C ha-1;0 - 15 cm;4415.25;128840.8778
3680;11.04.2005;RS;SOC;kg C ha-1;0 - 15 cm;4937.25;128840.8778
4045;11.04.2006;RS;SOC;kg C ha-1;0 - 15 cm;4350;128840.8778
4410;11.04.2007;RS;SOC;kg C ha-1;0 - 15 cm;5026.666667;128840.8778
4776;11.04.2008;RS;SOC;kg C ha-1;0 - 15 cm;4422.5;128840.8778
5141;11.04.2009;RS;SOC;kg C ha-1;0 - 15 cm;4495;128840.8778
5506;11.04.2010;RS;SOC;kg C ha-1;0 - 15 cm;5106.175;128840.8778
5871;11.04.2011;RS;SOC;kg C ha-1;0 - 15 cm;4204.276856;128840.8778
6237;11.04.2012;RS;SOC;kg C ha-1;0 - 15 cm;4681.325;128840.8778
6602;11.04.2013;RS;SOC;kg C ha-1;0 - 15 cm;5056.875;128840.8778
6967;11.04.2014;RS;SOC;kg C ha-1;0 - 15 cm;5021.7125;128840.8778
7332;11.04.2015;RS;SOC;kg C ha-1;0 - 15 cm;4827.775;128840.8778
1;16.03.1995;TM;SOC;kg C ha-1;0 - 15 cm;4524;128840.8778
375;24.03.1996;TM;SOC;kg C ha-1;0 - 15 cm;4495;128840.8778
755;08.04.1997;TM;SOC;kg C ha-1;0 - 15 cm;5510;128840.8778
1120;08.04.1998;TM;SOC;kg C ha-1;0 - 15 cm;5473.75;128840.8778
1488;11.04.1999;TM;SOC;kg C ha-1;0 - 15 cm;6786;128840.8778
1867;24.04.2000;TM;SOC;kg C ha-1;0 - 15 cm;5756.5;128840.8778
2219;11.04.2001;TM;SOC;kg C ha-1;0 - 15 cm;6539.5;128840.8778
2584;11.04.2002;TM;SOC;kg C ha-1;0 - 15 cm;6126.25;128840.8778
2949;11.04.2003;TM;SOC;kg C ha-1;0 - 15 cm;6039.25;128840.8778
3315;11.04.2004;TM;SOC;kg C ha-1;0 - 15 cm;6351;128840.8778
3680;11.04.2005;TM;SOC;kg C ha-1;0 - 15 cm;7960.5;128840.8778
4045;11.04.2006;TM;SOC;kg C ha-1;0 - 15 cm;6452.5;128840.8778
4410;11.04.2007;TM;SOC;kg C ha-1;0 - 15 cm;7724.156118;128840.8778
4776;11.04.2008;TM;SOC;kg C ha-1;0 - 15 cm;8700;128840.8778
5141;11.04.2009;TM;SOC;kg C ha-1;0 - 15 cm;6887.5;128840.8778
5506;11.04.2010;TM;SOC;kg C ha-1;0 - 15 cm;7461.7;128840.8778
5871;11.04.2011;TM;SOC;kg C ha-1;0 - 15 cm;6816.820306;128840.8778
6237;11.04.2012;TM;SOC;kg C ha-1;0 - 15 cm;7037.9375;128840.8778
6602;11.04.2013;TM;SOC;kg C ha-1;0 - 15 cm;7121.3125;128840.8778
6967;11.04.2014;TM;SOC;kg C ha-1;0 - 15 cm;7027.425;128840.8778
7332;11.04.2015;TM;SOC;kg C ha-1;0 - 15 cm;7473.3;128840.8778
8796;14.04.2019;CT;SOC;kg C ha-1;0 - 15 cm;3855.317456;128840.8778
8810;28.04.2019;CT;SOC;kg C ha-1;0 - 15 cm;4200.258319;128840.8778
8824;12.05.2019;CT;SOC;kg C ha-1;0 - 15 cm;3842.0505;128840.8778
8852;09.06.2019;CT;SOC;kg C ha-1;0 - 15 cm;4399.262663;128840.8778
8908;04.08.2019;CT;SOC;kg C ha-1;0 - 15 cm;4213.525275;128840.8778
9006;10.11.2019;CT;SOC;kg C ha-1;0 - 15 cm;4120.656581;128840.8778
8796;14.04.2019;DP;SOC;kg C ha-1;0 - 15 cm;5115.6783;128840.8778
8810;28.04.2019;DP;SOC;kg C ha-1;0 - 15 cm;5765.759156;128840.8778
8824;12.05.2019;DP;SOC;kg C ha-1;0 - 15 cm;5646.35655;128840.8778
8852;09.06.2019;DP;SOC;kg C ha-1;0 - 15 cm;6163.767844;128840.8778
8908;04.08.2019;DP;SOC;kg C ha-1;0 - 15 cm;5314.682644;128840.8778
9006;10.11.2019;DP;SOC;kg C ha-1;0 - 15 cm;5659.623506;128840.8778
8796;14.04.2019;GN;SOC;kg C ha-1;0 - 15 cm;6110.700019;128840.8778
8810;28.04.2019;GN;SOC;kg C ha-1;0 - 15 cm;7291.459125;128840.8778
8824;12.05.2019;GN;SOC;kg C ha-1;0 - 15 cm;7079.187825;128840.8778
8852;09.06.2019;GN;SOC;kg C ha-1;0 - 15 cm;7225.124344;128840.8778
8908;04.08.2019;GN;SOC;kg C ha-1;0 - 15 cm;7079.187825;128840.8778
9006;10.11.2019;GN;SOC;kg C ha-1;0 - 15 cm;7371.060863;128840.8778
8796;14.04.2019;RS;SOC;kg C ha-1;0 - 15 cm;5009.54265;128840.8778
8810;28.04.2019;RS;SOC;kg C ha-1;0 - 15 cm;5434.08525;128840.8778
8824;12.05.2019;RS;SOC;kg C ha-1;0 - 15 cm;5354.483513;128840.8778
8852;09.06.2019;RS;SOC;kg C ha-1;0 - 15 cm;5434.08525;128840.8778
8908;04.08.2019;RS;SOC;kg C ha-1;0 - 15 cm;5646.35655;128840.8778
9006;10.11.2019;RS;SOC;kg C ha-1;0 - 15 cm;5540.2209;128840.8778
8796;14.04.2019;TM;SOC;kg C ha-1;0 - 15 cm;7410.861731;128840.8778
8810;28.04.2019;TM;SOC;kg C ha-1;0 - 15 cm;7782.336506;128840.8778
8824;12.05.2019;TM;SOC;kg C ha-1;0 - 15 cm;7981.34085;128840.8778
8852;09.06.2019;TM;SOC;kg C ha-1;0 - 15 cm;8392.616494;128840.8778
8908;04.08.2019;TM;SOC;kg C ha-1;0 - 15 cm;8220.146063;128840.8778
9006;10.11.2019;TM;SOC;kg C ha-1;0 - 15 cm;7915.006069;128840.8778
375;24.03.1996;CT;Soil N;kg N ha-1;0 - 15 cm;311.75;1682
755;08.04.1997;CT;Soil N;kg N ha-1;0 - 15 cm;377;1682
1120;08.04.1998;CT;Soil N;kg N ha-1;0 - 15 cm;195.75;1682
1488;11.04.1999;CT;Soil N;kg N ha-1;0 - 15 cm;181.25;1682
2219;11.04.2001;CT;Soil N;kg N ha-1;0 - 15 cm;398.75;1682
2584;11.04.2002;CT;Soil N;kg N ha-1;0 - 15 cm;123.25;1682
2949;11.04.2003;CT;Soil N;kg N ha-1;0 - 15 cm;232;1682
3315;11.04.2004;CT;Soil N;kg N ha-1;0 - 15 cm;152.25;1682
3680;11.04.2005;CT;Soil N;kg N ha-1;0 - 15 cm;250.85;1682
4045;11.04.2006;CT;Soil N;kg N ha-1;0 - 15 cm;449.5;1682
4776;11.04.2008;CT;Soil N;kg N ha-1;0 - 15 cm;287.1;1682
5141;11.04.2009;CT;Soil N;kg N ha-1;0 - 15 cm;332.775;1682
5506;11.04.2010;CT;Soil N;kg N ha-1;0 - 15 cm;195.75;1682
5871;11.04.2011;CT;Soil N;kg N ha-1;0 - 15 cm;427.75;1682
6237;11.04.2012;CT;Soil N;kg N ha-1;0 - 15 cm;104.4;1682
6602;11.04.2013;CT;Soil N;kg N ha-1;0 - 15 cm;236.35;1682
6967;11.04.2014;CT;Soil N;kg N ha-1;0 - 15 cm;128.325;1682
7332;11.04.2015;CT;Soil N;kg N ha-1;0 - 15 cm;312.475;1682
375;24.03.1996;DP;Soil N;kg N ha-1;0 - 15 cm;340.75;1682
755;08.04.1997;DP;Soil N;kg N ha-1;0 - 15 cm;398.75;1682
1120;08.04.1998;DP;Soil N;kg N ha-1;0 - 15 cm;268.25;1682
1488;11.04.1999;DP;Soil N;kg N ha-1;0 - 15 cm;253.75;1682
2219;11.04.2001;DP;Soil N;kg N ha-1;0 - 15 cm;464;1682
2584;11.04.2002;DP;Soil N;kg N ha-1;0 - 15 cm;224.75;1682
2949;11.04.2003;DP;Soil N;kg N ha-1;0 - 15 cm;275.5;1682
3315;11.04.2004;DP;Soil N;kg N ha-1;0 - 15 cm;256.65;1682
3680;11.04.2005;DP;Soil N;kg N ha-1;0 - 15 cm;434.275;1682
4045;11.04.2006;DP;Soil N;kg N ha-1;0 - 15 cm;435;1682
4776;11.04.2008;DP;Soil N;kg N ha-1;0 - 15 cm;261;1682
5141;11.04.2009;DP;Soil N;kg N ha-1;0 - 15 cm;352.35;1682
5506;11.04.2010;DP;Soil N;kg N ha-1;0 - 15 cm;398.025;1682
5871;11.04.2011;DP;Soil N;kg N ha-1;0 - 15 cm;449.5;1682
6237;11.04.2012;DP;Soil N;kg N ha-1;0 - 15 cm;358.875;1682
6602;11.04.2013;DP;Soil N;kg N ha-1;0 - 15 cm;703.975;1682
6967;11.04.2014;DP;Soil N;kg N ha-1;0 - 15 cm;353.8;1682
7332;11.04.2015;DP;Soil N;kg N ha-1;0 - 15 cm;419.775;1682
375;24.03.1996;GN;Soil N;kg N ha-1;0 - 15 cm;594.5;1682
755;08.04.1997;GN;Soil N;kg N ha-1;0 - 15 cm;507.5;1682
1120;08.04.1998;GN;Soil N;kg N ha-1;0 - 15 cm;290;1682
1488;11.04.1999;GN;Soil N;kg N ha-1;0 - 15 cm;369.75;1682
2219;11.04.2001;GN;Soil N;kg N ha-1;0 - 15 cm;565.5;1682
2584;11.04.2002;GN;Soil N;kg N ha-1;0 - 15 cm;326.25;1682
2949;11.04.2003;GN;Soil N;kg N ha-1;0 - 15 cm;384.25;1682
3315;11.04.2004;GN;Soil N;kg N ha-1;0 - 15 cm;363.225;1682
3680;11.04.2005;GN;Soil N;kg N ha-1;0 - 15 cm;604.65;1682
4045;11.04.2006;GN;Soil N;kg N ha-1;0 - 15 cm;659.75;1682
4776;11.04.2008;GN;Soil N;kg N ha-1;0 - 15 cm;384.975;1682
5141;11.04.2009;GN;Soil N;kg N ha-1;0 - 15 cm;495.9;1682
5506;11.04.2010;GN;Soil N;kg N ha-1;0 - 15 cm;476.325;1682
5871;11.04.2011;GN;Soil N;kg N ha-1;0 - 15 cm;732.25;1682
6237;11.04.2012;GN;Soil N;kg N ha-1;0 - 15 cm;528.525;1682
6602;11.04.2013;GN;Soil N;kg N ha-1;0 - 15 cm;710.5;1682
6967;11.04.2014;GN;Soil N;kg N ha-1;0 - 15 cm;495.9;1682
7332;11.04.2015;GN;Soil N;kg N ha-1;0 - 15 cm;713.4;1682
375;24.03.1996;RS;Soil N;kg N ha-1;0 - 15 cm;355.25;1682
755;08.04.1997;RS;Soil N;kg N ha-1;0 - 15 cm;391.5;1682
1120;08.04.1998;RS;Soil N;kg N ha-1;0 - 15 cm;224.75;1682
1488;11.04.1999;RS;Soil N;kg N ha-1;0 - 15 cm;340.75;1682
2219;11.04.2001;RS;Soil N;kg N ha-1;0 - 15 cm;427.75;1682
2584;11.04.2002;RS;Soil N;kg N ha-1;0 - 15 cm;217.5;1682
2949;11.04.2003;RS;Soil N;kg N ha-1;0 - 15 cm;253.75;1682
3315;11.04.2004;RS;Soil N;kg N ha-1;0 - 15 cm;221.125;1682
3680;11.04.2005;RS;Soil N;kg N ha-1;0 - 15 cm;363.225;1682
4045;11.04.2006;RS;Soil N;kg N ha-1;0 - 15 cm;435;1682
4776;11.04.2008;RS;Soil N;kg N ha-1;0 - 15 cm;228.375;1682
5141;11.04.2009;RS;Soil N;kg N ha-1;0 - 15 cm;411.075;1682
5506;11.04.2010;RS;Soil N;kg N ha-1;0 - 15 cm;221.85;1682
5871;11.04.2011;RS;Soil N;kg N ha-1;0 - 15 cm;456.75;1682
6237;11.04.2012;RS;Soil N;kg N ha-1;0 - 15 cm;378.45;1682
6602;11.04.2013;RS;Soil N;kg N ha-1;0 - 15 cm;347.6375;1682
6967;11.04.2014;RS;Soil N;kg N ha-1;0 - 15 cm;242.875;1682
7332;11.04.2015;RS;Soil N;kg N ha-1;0 - 15 cm;433.55;1682
375;24.03.1996;TM;Soil N;kg N ha-1;0 - 15 cm;420.5;1682
755;08.04.1997;TM;Soil N;kg N ha-1;0 - 15 cm;471.25;1682
1120;08.04.1998;TM;Soil N;kg N ha-1;0 - 15 cm;297.25;1682
1488;11.04.1999;TM;Soil N;kg N ha-1;0 - 15 cm;413.25;1682
2219;11.04.2001;TM;Soil N;kg N ha-1;0 - 15 cm;609;1682
2584;11.04.2002;TM;Soil N;kg N ha-1;0 - 15 cm;311.75;1682
2949;11.04.2003;TM;Soil N;kg N ha-1;0 - 15 cm;391.5;1682
3315;11.04.2004;TM;Soil N;kg N ha-1;0 - 15 cm;334.225;1682
3680;11.04.2005;TM;Soil N;kg N ha-1;0 - 15 cm;562.6;1682
4045;11.04.2006;TM;Soil N;kg N ha-1;0 - 15 cm;623.5;1682
4776;11.04.2008;TM;Soil N;kg N ha-1;0 - 15 cm;352.35;1682
5141;11.04.2009;TM;Soil N;kg N ha-1;0 - 15 cm;411.075;1682
5506;11.04.2010;TM;Soil N;kg N ha-1;0 - 15 cm;378.45;1682
5871;11.04.2011;TM;Soil N;kg N ha-1;0 - 15 cm;543.75;1682
6237;11.04.2012;TM;Soil N;kg N ha-1;0 - 15 cm;463.275;1682
6602;11.04.2013;TM;Soil N;kg N ha-1;0 - 15 cm;493;1682
6967;11.04.2014;TM;Soil N;kg N ha-1;0 - 15 cm;348.725;1682
7332;11.04.2015;TM;Soil N;kg N ha-1;0 - 15 cm;642.35;1682
